,id,name,year_published,min_players,max_players,primary_publisher,mechanics,num_user_ratings,average_user_rating,rank,num_mechs
19,yRM5Juyr0D,M,2000,2.0,6.0,ABACUSSPIELE,"[{'id': '8PN2HE86wg', 'url': 'https://www.boardgameatlas.com/mechanic/8PN2HE86wg/undefined'}]",5,0.0,9999999,1
20,NpmecL69FH,À la carte,2000,2.0,2.0,Kärnan,[],1,0.0,9999999,0
21,0DckWLfICA,Monza,2000,2.0,6.0,HABA,"[{'id': 'R0bGq4cAl4', 'url': 'https://www.boardgameatlas.com/mechanic/R0bGq4cAl4/undefined'}, {'id': 'mGBzR68m8Z', 'url': 'https://www.boardgameatlas.com/mechanic/mGBzR68m8Z/undefined'}]",13,2.846153846153846,9999999,2
22,aOZpiq3nES,Star Wars the Queen's Gambit,2000,2.0,4.0,"Avalon Hill Games, Inc.","[{'id': 'R0bGq4cAl4', 'url': 'https://www.boardgameatlas.com/mechanic/R0bGq4cAl4/undefined'}]",15,3.7333333333333334,9999999,1
23,uWfeqpi0Xm,Java,2000,2.0,4.0,,"[{'id': 'oeg6wN9Eoc', 'url': 'https://www.boardgameatlas.com/mechanic/oeg6wN9Eoc/undefined'}, {'id': '05zCZoLvQJ', 'url': 'https://www.boardgameatlas.com/mechanic/05zCZoLvQJ/undefined'}, {'id': '8PN2HE86wg', 'url': 'https://www.boardgameatlas.com/mechanic/8PN2HE86wg/undefined'}]",14,3.2142857142857144,9999999,3
24,aSIC1If5lf,People Power,2000,1.0,3.0,GMT Games,"[{'id': 'cznlFNKPA0', 'url': 'https://www.boardgameatlas.com/mechanic/cznlFNKPA0/undefined'}, {'id': 'yomuPpKFx4', 'url': 'https://www.boardgameatlas.com/mechanic/yomuPpKFx4/undefined'}]",1,0.0,9999999,2
25,FZo00pD8wy,1862,2000,4.0,7.0,,[],0,0.0,9999999,0
26,lc5gLpSzFf,Web of Power,2000,3.0,5.0,Rio Grande Games,"[{'id': '05zCZoLvQJ', 'url': 'https://www.boardgameatlas.com/mechanic/05zCZoLvQJ/undefined'}, {'id': 'iWODHwRGuU', 'url': 'https://www.boardgameatlas.com/mechanic/iWODHwRGuU/undefined'}, {'id': 'WPytek5P8l', 'url': 'https://www.boardgameatlas.com/mechanic/WPytek5P8l/undefined'}, {'id': 'ohABM4GjbC', 'url': 'https://www.boardgameatlas.com/mechanic/ohABM4GjbC/undefined'}]",12,3.5,9999999,4
27,UXmJW11uqk,Buffy the Vampire Slayer,2000,1.0,6.0,Jasco Games,"[{'id': 'GNtouC8NLm', 'url': 'https://www.boardgameatlas.com/mechanic/GNtouC8NLm/undefined'}, {'id': 'EVeAdboGUA', 'url': 'https://www.boardgameatlas.com/mechanic/EVeAdboGUA/undefined'}, {'id': 'mGBzR68m8Z', 'url': 'https://www.boardgameatlas.com/mechanic/mGBzR68m8Z/undefined'}, {'id': 'XM2FYZmBHH', 'url': 'https://www.boardgameatlas.com/mechanic/XM2FYZmBHH/undefined'}]",11,3.272727272727273,9999999,4
28,4BqkaR9azx,Ivanhoe Board Game,2000,2.0,5.0,GMT Games,[],6,3.0,9999999,0
